F1,Avg Train Time,Avg Test Time,CLF,Feature Finder,Convert Grey,RootSIFT,PCA First,K Clusters,PCA Ratio,TF-IDF,Incremental Threshold
0.481333333333,5.06172399521,4.06942076683,BernoulliNB,ORB,True,True,True,200.0,0.75,False,25.0
0.481333333333,2.5372616291,2.68272051811,SGDClassifier,ORB,True,False,True,25.0,0.75,False,25.0
0.48,4.51752839088,3.15463638306,BernoulliNB,ORB,True,False,True,200.0,1.0,True,25.0
0.48,4.49069457054,4.09881634712,Perceptron,ORB,True,True,True,200.0,0.5,False,10.0
0.48,4.99844665527,4.05903377533,PassiveAggressiveClassifier,ORB,False,True,True,200.0,0.25,True,20.0
0.478666666667,3.19273076057,2.89278697968,Perceptron,ORB,False,False,True,100.0,0.5,True,25.0
0.478666666667,2.87958335876,2.72134737968,BernoulliNB,ORB,True,False,True,50.0,1.0,False,25.0
0.477333333333,3.14809446335,2.89658579826,PassiveAggressiveClassifier,ORB,True,False,True,100.0,0.5,False,15.0
0.477333333333,4.00210614204,3.82838449478,BernoulliNB,ORB,True,True,True,100.0,0.75,False,15.0
0.477333333333,3.377318573,3.7027141571,BernoulliNB,ORB,True,True,True,50.0,0.75,False,20.0
0.477333333333,4.66532936096,4.12857699394,PassiveAggressiveClassifier,ORB,False,True,True,200.0,0.75,True,10.0
0.477333333333,3.36294007301,3.73304343224,BernoulliNB,ORB,False,True,True,50.0,0.25,False,20.0
0.477333333333,3.74302449226,3.74115586281,SGDClassifier,ORB,False,True,True,50.0,1.0,False,25.0
0.476,4.04080104828,3.15765948296,BernoulliNB,ORB,False,False,True,200.0,0.5,False,15.0
0.476,2.56428704262,2.70138659477,BernoulliNB,ORB,False,False,True,25.0,0.75,False,25.0
0.476,3.4399895668,3.65661301613,SGDClassifier,ORB,False,True,True,25.0,1.0,False,25.0
0.474666666667,3.14133415222,3.63001980782,Perceptron,ORB,True,True,True,25.0,1.0,False,20.0
0.474666666667,4.38486633301,3.14975013733,SGDClassifier,ORB,False,False,True,200.0,0.25,False,25.0
0.474666666667,3.4830121994,3.73829436302,PassiveAggressiveClassifier,ORB,False,True,True,50.0,1.0,False,5.0
0.474666666667,4.43696713448,3.18313598633,Perceptron,ORB,False,False,True,200.0,0.75,False,25.0
0.474666666667,3.14998116493,2.85968742371,Perceptron,ORB,False,False,True,100.0,0.5,False,25.0
0.473333333333,4.71869034767,4.01545276642,SGDClassifier,ORB,False,True,True,200.0,0.25,True,15.0
0.473333333333,4.21216611862,3.17307486534,Perceptron,ORB,False,False,True,200.0,0.75,False,20.0
0.473333333333,4.22034683228,3.14152531624,SGDClassifier,ORB,True,False,True,200.0,0.5,True,25.0
0.473333333333,4.58615021706,3.97421603203,PassiveAggressiveClassifier,ORB,False,True,True,100.0,0.5,False,25.0
0.473333333333,3.80586371422,3.83111963272,BernoulliNB,ORB,True,True,True,100.0,1.0,True,20.0
0.472,3.38130989075,3.70303416252,PassiveAggressiveClassifier,ORB,False,True,True,50.0,0.25,False,20.0
0.472,3.318110466,3.6260846138,Perceptron,ORB,False,True,True,25.0,0.5,False,15.0
0.472,4.75260667801,3.2128900528,Perceptron,ORB,True,False,True,200.0,1.0,True,25.0
0.472,4.28933343887,3.16452264786,SGDClassifier,ORB,False,False,True,200.0,0.75,False,20.0
0.470666666667,3.58974690437,2.90629396439,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.75,True,25.0
0.470666666667,3.46378011703,3.55622377396,SGDClassifier,ORB,False,True,True,25.0,0.75,False,25.0
0.470666666667,3.99614305496,3.12779102325,BernoulliNB,ORB,False,False,True,200.0,0.5,False,20.0
0.470666666667,4.46744961739,3.79314017296,BernoulliNB,ORB,False,True,True,100.0,0.25,False,25.0
0.470666666667,4.25734386444,3.14496326447,Perceptron,ORB,False,False,True,200.0,0.5,False,25.0
0.470666666667,5.30598015785,4.13293056488,BernoulliNB,ORB,False,True,True,200.0,0.5,False,25.0
0.470666666667,4.70462417603,4.12319846153,BernoulliNB,ORB,False,True,True,200.0,0.25,True,20.0
0.469333333333,3.93278112411,3.89251523018,Perceptron,ORB,False,True,True,100.0,1.0,True,20.0
